id	GWEIGHT	log2WT	log2KO	log2KO-WT
1300010F03Rik	1	9.204614093	8.829655956	-0.374958137
1300014I06Rik	1	4.168472348	4.283949075	0.115476727
1300015D01Rik	1	2.186241836	0.377759949	-1.808481888
1300017J02Rik	1	9.422267926	4.665826245	-4.756441681
1300018I17Rik	1	7.574536632	7.738560836	0.164024204
1300018J18Rik	1	8.797927201	9.133394577	0.335467376
1500001M20Rik	1	8.663962173	8.310181766	-0.353780407
1500002O10Rik	1	1.143033952	0	-1.143033952
1500002O20Rik	1	9.171295055	9.255900839	0.084605784
1500003O03Rik	1	10.4246206	10.25580608	-0.168814527
1500004A13Rik	1	6.431939446	6.584376252	0.152436807
1500009C09Rik	1	0	0	0
1500009L16Rik	1	2.606870937	1.975982615	-0.630888322
1500010J02Rik	1	10.07476234	10.32771822	0.252955888
1500011B03Rik	1	7.4547838	7.096775461	-0.358008339
1500011H22Rik	1	8.066237125	8.269729956	0.203492831
1500011K16Rik	1	7.254256047	7.797846181	0.543590134
1500012F01Rik	1	9.701587309	9.773403271	0.071815962
1500012K07Rik	1	0	0	0
1500015A07Rik	1	5.197476203	5.401895359	0.204419155
1500015L24Rik	1	0	0.377759949	0.377759949
1500015O10Rik	1	1.460033043	0.994112533	-0.46592051
1500016L03Rik	1	0	0	0
1500017E21Rik	1	3.402642345	3.121920961	-0.280721384
1500031L02Rik	1	6.661789488	7.227342634	0.565553146
1500032L24Rik	1	10.04983008	10.78025773	0.730427648
1520402A15Rik	1	2.923404964	3.993116115	1.069711151
1600002D24Rik	1	0	0	0
1600002H07Rik	1	8.787827277	9.086039325	0.298212048
1600002K03Rik	1	6.317780722	6.943886143	0.626105421
1600010M07Rik	1	3.270566498	3.675028832	0.404462333
1600012F09Rik	1	6.950133089	6.871737057	-0.078396032
1600012H06Rik	1	8.838843342	9.049133694	0.210290353
1600014C10Rik	1	8.584866284	9.018995184	0.4341289
1600014C23Rik	1	0.488806077	0.997308813	0.508502736
1600014K23Rik	1	0	0	0
1600015I10Rik	1	0	0	0
1600016N20Rik	1	4.680328	3.903495585	-0.776832415
1600019K03Rik	1	0	0	0
1600020E01Rik	1	5.104710427	5.566499289	0.461788862
1600021P15Rik	1	3.924895793	3.488294156	-0.436601637
1600025M17Rik	1	0	0	0
1600027N09Rik	1	7.602483292	7.723193901	0.120710609
1600029D21Rik	1	2.891469084	3.820925439	0.929456355
1600029I14Rik	1	0.71288478	0	-0.71288478
1600029O15Rik	1	0	0	0
1700001C02Rik	1	0	0	0
1700001C19Rik	1	2.613504294	2.050959682	-0.562544611
1700001D01Rik	1	0.813668922	0	-0.813668922
1700001F09Rik	1	0	0	0
1700001G11Rik	1	2.904958704	3.202543747	0.297585044
1700001G17Rik	1	3.75102495	3.869812046	0.118787096
1700001J03Rik	1	0	0	0
1700001J11Rik	1	0	0	0
1700001K19Rik	1	3.109378263	1.963915314	-1.145462949
1700001K23Rik	1	2.282126444	1.357355135	-0.924771309
1700001L05Rik	1	7.498972239	4.936321828	-2.562650411
1700001L19Rik	1	0	0	0
1700001O22Rik	1	0.75528821	0.377759949	-0.377528262
1700001P01Rik	1	2.932937064	1.373230899	-1.559706165
1700003C15Rik	1	0	0	0
1700003D09Rik	1	0	0	0
1700003E16Rik	1	1.896776014	2.619891765	0.723115752
1700003F12Rik	1	2.44734942	1.839128228	-0.608221192
1700003F17Rik	1	2.858253424	2.150143791	-0.708109632
1700003G13Rik	1	0	0	0
1700003G18Rik	1	0.437646024	0.990909155	0.553263132
1700003H04Rik	1	0	0	0
1700003L19Rik	1	0	0	0
1700003M02Rik	1	0	0	0
1700003M07Rik	1	0.361415423	0	-0.361415423
1700003P14Rik	1	0	0	0
1700006A11Rik	1	0	0	0
1700006E09Rik	1	0	0	0
1700006F04Rik	1	0	0	0
1700006H21Rik	1	0	0	0
1700007B14Rik	1	0	0	0
1700007F19Rik	1	0.71288478	0.413692533	-0.299192247
1700007G11Rik	1	0	0	0
1700007I08Rik	1	3.356402831	2.089285561	-1.267117271
1700007J10Rik	1	4.363765989	3.523269923	-0.840496067
1700007K09Rik	1	1.995546129	0	-1.995546129
1700007K13Rik	1	0.488806077	0.377759949	-0.111046128
1700007L15Rik	1	5.547443028	5.515402492	-0.032040536
1700007P06Rik	1	0	0	0
1700008A04Rik	1	0	0	0
1700008F21Rik	1	0	0	0
1700008I05Rik	1	0	0	0
1700008J07Rik	1	6.592322208	6.035399151	-0.556923057
1700008K24Rik	1	0	0	0
1700008O03Rik	1	2.765957906	2.080270815	-0.685687091
1700008P02Rik	1	0	0	0
1700008P20Rik	1	0	0.727132919	0.727132919
1700009C05Rik	1	0	0	0
1700009J07Rik	1	0	0	0
1700009N14Rik	1	0	0	0
1700009P17Rik	1	3.879964908	4.229548427	0.349583519
1700010B08Rik	1	0	0	0
1700010D01Rik	1	0	0	0
1700010I02Rik	1	0	0	0
1700010I14Rik	1	4.81272693	5.017064185	0.204337254
1700010J16Rik	1	0	0	0
1700010K23Rik	1	0	0	0
1700010M22Rik	1	0	0	0
1700011A15Rik	1	0	0	0
1700011B04Rik	1	0	0	0
1700011E24Rik	1	0.361415423	0	-0.361415423
1700011F03Rik	1	0	0	0
1700011F14Rik	1	0	0	0
1700011H14Rik	1	0.75528821	0	-0.75528821
1700011I03Rik	1	0	0	0
1700011J10Rik	1	6.414518128	6.303432582	-0.111085546
1700011L22Rik	1	0.437646024	0	-0.437646024
1700011M02Rik	1	0	0	0
1700012A03Rik	1	0	0	0
1700012A16Rik	1	4.217350648	3.460481745	-0.756868903
1700012B07Rik	1	0	0	0
1700012B09Rik	1	0	0	0
1700012B15Rik	1	7.819427113	7.809118045	-0.010309068
1700012D01Rik	1	0.813668922	0.676850235	-0.136818687
1700012D14Rik	1	3.352640499	2.760956116	-0.591684383
1700012I11Rik	1	0	0	0
1700012L04Rik	1	2.216475067	2.384249	0.167773932
1700012P22Rik	1	0	0	0
1700013D24Rik	1	0	0	0
1700013F07Rik	1	0	0.408899935	0.408899935
1700013G23Rik	1	1.841726492	1.526563527	-0.315162965
1700013G24Rik	1	0	0	0
1700013H16Rik	1	0.361415423	0	-0.361415423
1700013N18Rik	1	3.795304172	1.83734577	-1.957958402
1700014N06Rik	1	0	0	0
1700015E13Rik	1	0.943931815	0.945846459	0.001914644
1700015F17Rik	1	0	0	0
1700015G11Rik	1	0	0	0
1700016C15Rik	1	0.488806077	0	-0.488806077
1700016D06Rik	1	1.187866929	0.377759949	-0.81010698
1700016G22Rik	1	0.361415423	0.377759949	0.016344526
1700016H13Rik	1	0.361415423	1.388933861	1.027518438
1700016K19Rik	1	0.813668922	1.178126608	0.364457686
1700016L04Rik	1	0.361415423	0.706122716	0.344707293
1700016L21Rik	1	0	0	0
1700016M24Rik	1	0	0	0
1700016P04Rik	1	0	0	0
1700017B05Rik	1	10.02604802	9.837375545	-0.188672472
1700017D01Rik	1	0	0	0
1700017G19Rik	1	0	0.706122716	0.706122716
1700017J07Rik	1	0	0	0
1700017N19Rik	1	0.361415423	0	-0.361415423
1700018A04Rik	1	0	0	0
1700018B08Rik	1	0	0	0
1700018B24Rik	1	0	0	0
1700018C11Rik	1	0.488806077	0	-0.488806077
1700018F24Rik	1	0	0	0
1700018G05Rik	1	0	0	0
1700018L02Rik	1	6.956582062	6.376686974	-0.579895088
1700018L24Rik	1	0	0	0
1700019A02Rik	1	0.853250103	0.413692533	-0.439557569
1700019B03Rik	1	0	0.408899935	0.408899935
1700019B21Rik	1	0	0	0
1700019D03Rik	1	2.76123819	2.741787267	-0.019450923
1700019E08Rik	1	0	0	0
1700019E19Rik	1	2.900673148	3.499750288	0.59907714
1700019G17Rik	1	4.830805336	4.931891227	0.101085891
1700019G24Rik	1	0	0	0
1700019L03Rik	1	3.925717868	3.69440084	-0.231317028
1700019M22Rik	1	0	0	0
1700019N12Rik	1	2.83081397	1.963915314	-0.866898657
1700019N19Rik	1	0	0.377759949	0.377759949
1700019O17Rik	1	0	0	0
1700020A23Rik	1	0.488806077	0	-0.488806077
1700020D05Rik	1	2.562255811	2.924360494	0.362104682
1700020G17Rik	1	0	0	0
1700020I14Rik	1	9.630378805	9.065911077	-0.564467728
1700020L24Rik	1	6.685519053	7.894303254	1.208784201
1700020M21Rik	1	0	0	0
1700020N01Rik	1	0.361415423	0	-0.361415423
1700020N15Rik	1	0	0	0
1700020N18Rik	1	0.71288478	0	-0.71288478
1700020O03Rik	1	8.81974862	8.621959548	-0.197789072
1700021C14Rik	1	4.980738954	5.292185844	0.31144689
1700021F05Rik	1	7.693056094	8.073095325	0.380039231
1700021F07Rik	1	0	0	0
1700021K19Rik	1	8.371088681	8.407437249	0.036348568
1700021N21Rik	1	0	0.408899935	0.408899935
1700022A21Rik	1	0	0	0
1700022A22Rik	1	0	0	0
1700022E09Rik	1	0	0	0
1700022H16Rik	1	0.361415423	0	-0.361415423
1700022I11Rik	1	1.822483936	0.973431014	-0.849052922
1700022P22Rik	1	1.030238172	2.256904021	1.226665849
1700023A16Rik	1	0	0	0
1700023C21Rik	1	0	0	0
1700023E05Rik	1	3.148267272	5.226273311	2.078006039
1700023F02Rik	1	0	0	0
1700023F06Rik	1	1.318770879	0.377759949	-0.94101093
1700023L04Rik	1	3.251839639	3.722839443	0.470999804
1700024B18Rik	1	0	0	0
1700024F13Rik	1	1.474680365	0.706122716	-0.768557649
1700024G13Rik	1	0	0	0
1700024P03Rik	1	2.188540581	0.706122716	-1.482417865
1700024P04Rik	1	0	0	0
1700024P16Rik	1	0.361415423	0	-0.361415423
1700025B11Rik	1	0	0	0
1700025C18Rik	1	0	0	0
1700025E21Rik	1	1.143033952	0.966924314	-0.176109637
1700025F22Rik	1	0	0	0
1700025F24Rik	1	0.361415423	0	-0.361415423
1700025G04Rik	1	7.54262784	7.368562536	-0.174065304
1700025K23Rik	1	2.132147716	1.932114924	-0.200032792
1700025K24Rik	1	0	0	0
1700025M24Rik	1	0	0	0
1700025N23Rik	1	0	0	0
1700026D08Rik	1	0	0	0
1700026D11Rik	1	0.361415423	0.377759949	0.016344526
1700026F02Rik	1	0	0	0
1700026J04Rik	1	1.509710014	0.949151357	-0.560558657
1700026L06Rik	1	4.051818489	5.182260295	1.130441806
1700027A15Rik	1	0	0	0
1700027A23Rik	1	0	0	0
1700027D21Rik	1	0	1.193304888	1.193304888
1700027F09Rik	1	0	0	0
1700027H10Rik	1	0	0	0
1700027I24Rik	1	0.488806077	0	-0.488806077
1700027J07Rik	1	0.650186777	0	-0.650186777
1700028B04Rik	1	0.488806077	0	-0.488806077
1700028D13Rik	1	0	0	0
1700028E10Rik	1	4.080666752	4.403641266	0.322974515
1700028I16Rik	1	0.361415423	0.413692533	0.05227711
1700028J19Rik	1	3.922359852	3.606604343	-0.315755509
1700028K03Rik	1	5.507984273	5.713866891	0.205882618
1700028M03Rik	1	0	0.377759949	0.377759949
1700028P14Rik	1	0	0	0
1700028P15Rik	1	0	0	0
1700029B22Rik	1	0	0	0
1700029F09Rik	1	8.83013532	8.911800986	0.081665666
1700029F12Rik	1	0	0	0
1700029G01Rik	1	3.642845963	3.053705284	-0.589140679
1700029H14Rik	1	0.488806077	0	-0.488806077
1700029I01Rik	1	5.175148766	5.114912066	-0.0602367
1700029I15Rik	1	2.57380971	2.912206402	0.338396692
1700029J03Rik	1	0	0	0
1700029J07Rik	1	3.573018447	3.678516685	0.105498238
1700029J11Rik	1	1.345978677	0.734813046	-0.611165631
1700029M20Rik	1	0.361415423	0	-0.361415423
1700029N11Rik	1	0.361415423	0	-0.361415423
1700029P11Rik	1	0	0	0
1700030A11Rik	1	0.71288478	1.373230899	0.660346119
1700030C10Rik	1	2.742806825	4.592667638	1.849860814
1700030F04Rik	1	0	0	0
1700030F18Rik	1	0	0	0
1700030J22Rik	1	3.856088448	4.157919977	0.301831529
1700030K09Rik	1	7.224550419	7.400068206	0.175517787
1700030L20Rik	1	0	0	0
1700030M09Rik	1	0.488806077	0	-0.488806077
1700030N03Rik	1	0	0	0
1700030O20Rik	1	0	0	0
1700031A10Rik	1	0	0	0
1700031F05Rik	1	0	0	0
1700031M16Rik	1	0.361415423	0.413692533	0.05227711
1700031P21Rik	1	0	0	0
1700034E13Rik	1	0	0	0
1700034F02Rik	1	2.887688978	1.673170265	-1.214518712
1700034G24Rik	1	0	0	0
1700034H14Rik	1	8.493237949	8.526572538	0.033334589
1700034H15Rik	1	6.225912827	6.719854384	0.493941557
1700034I23Rik	1	1.35853236	1.391365544	0.032833184
1700034J05Rik	1	0	0	0
1700034K08Rik	1	0	0	0
1700034O15Rik	1	3.089652054	0.973431014	-2.11622104
1700034P13Rik	1	7.723133022	7.115338935	-0.607794087
1700036G14Rik	1	0	0	0
1700037C18Rik	1	5.018253891	5.663008594	0.644754704
1700037H04Rik	1	10.43982253	10.83352202	0.393699484
1700039E15Rik	1	0.488806077	0.413692533	-0.075113544
1700039E22Rik	1	0	0	0
1700040I03Rik	1	8.149866052	8.376952444	0.227086392
1700040L02Rik	1	2.102514376	2.273917839	0.171403464
1700040N02Rik	1	1.657379215	0.702210631	-0.955168584
1700041C23Rik	1	0	0	0
1700041M19Rik	1	0	0	0
1700042B14Rik	1	0	0.377759949	0.377759949
1700042G07Rik	1	0	0	0
1700042G15Rik	1	0	0	0
1700042O10Rik	1	0.361415423	0.377759949	0.016344526
1700044C05Rik	1	0	0	0
1700044K03Rik	1	0	0	0
1700045H11Rik	1	0	0.413692533	0.413692533
1700045I19Rik	1	0	0	0
1700046C09Rik	1	0	0	0
1700047G03Rik	1	0	0	0
1700047I17Rik2	1	0	0	0
1700047L14Rik	1	0	0	0
1700047M11Rik	1	2.896917112	2.282350093	-0.614567019
1700048M11Rik	1	0.943931815	1.673170265	0.72923845
1700048O20Rik	1	4.679998355	5.482456325	0.80245797
1700049E15Rik	1	0	0	0
1700049E22Rik	1	0	0	0
1700049G17Rik	1	4.375357583	4.667582808	0.292225224
1700049L16Rik	1	0	0	0
1700051A21Rik	1	0	0	0
1700052I22Rik	1	0	0	0
1700052K11Rik	1	6.878707332	6.731138077	-0.147569255
1700052N19Rik	1	8.917946487	9.064510498	0.146564011
1700054A03Rik	1	0	0	0
1700054K19Rik	1	0	0	0
1700054M17Rik	1	0	0	0
1700054N08Rik	1	7.719260653	7.418897875	-0.300362778
1700054O13Rik	1	0	0	0
1700055C04Rik	1	0	0	0
1700055N04Rik	1	1.581495755	1.97921927	0.397723515
1700056E22Rik	1	3.589652832	4.143175826	0.553522994
1700057G04Rik	1	0	0.408899935	0.408899935
1700057H15Rik	1	0	0	0
1700057K13Rik	1	0.361415423	0	-0.361415423
1700058G18Rik	1	1.821912929	0	-1.821912929
1700060C16Rik	1	0	0	0
1700060C20Rik	1	0	0	0
1700061F12Rik	1	0	0	0
1700061G19Rik	1	2.715058605	1.933784122	-0.781274483
1700061I17Rik	1	0	0	0
1700061J05Rik	1	0.361415423	0	-0.361415423
1700063A18Rik	1	0	0	0
1700063D05Rik	1	0	0	0
1700063O14Rik	1	0	0	0
1700064J06Rik	1	0	0	0
1700064M15Rik	1	0	0	0
1700065D16Rik	1	3.352245113	2.938772476	-0.413472637
1700065I16Rik	1	0	0	0
1700065I17Rik	1	0.437646024	0	-0.437646024
1700065J11Rik	1	0	0	0
1700065J18Rik	1	0	0	0
1700065O20Rik	1	0	0	0
1700066B17Rik	1	0	0	0
1700066B19Rik	1	2.027930307	2.900445161	0.872514854
1700066J24Rik	1	3.646084769	4.119106879	0.473022109
1700066M21Rik	1	7.738640809	7.64565555	-0.092985259
1700066N21Rik	1	0	0	0
1700066O22Rik	1	0	0	0
1700067G17Rik	1	0	0	0
1700067K01Rik	1	3.40468155	2.254234584	-1.150446966
1700067P10Rik	1	0	0	0
1700069L16Rik	1	0	0	0
1700069P05Rik	1	0	0	0
1700071K01Rik	1	0	0	0
1700071M16Rik	1	3.950291465	4.083238548	0.132947083
1700072B07Rik	1	0	0	0
1700072O05Rik	1	0	0	0
1700073E17Rik	1	0.488806077	0	-0.488806077
1700074H08Rik	1	0	0.408899935	0.408899935
1700074P13Rik	1	0.361415423	0	-0.361415423
1700080E11Rik	1	0	0	0
1700080N15Rik	1	0	0	0
1700080O16Rik	1	0	0	0
1700081H04Rik	1	0.361415423	0	-0.361415423
1700081H22Rik	1	0	0	0
1700081L11Rik	1	10.09315563	9.910762386	-0.182393239
1700084C01Rik	1	0	0	0
1700084E18Rik	1	2.490626484	2.069048323	-0.421578161
1700084F23Rik	1	0	0	0
1700084J12Rik	1	0	0	0
1700085B03Rik	1	0	0	0
1700085C21Rik	1	0	0	0
1700086L19Rik	1	0	0.734813046	0.734813046
1700086O06Rik	1	6.942320606	6.03202648	-0.910294127
1700088E04Rik	1	6.126848839	6.103044562	-0.023804277
1700090G07Rik	1	0	0	0
1700091E21Rik	1	0.650186777	0	-0.650186777
1700092C02Rik	1	0	0	0
1700092C10Rik	1	0	0	0
1700092E19Rik	1	0	0	0
1700092K14Rik	1	0	0	0
1700092M07Rik	1	3.449237795	2.58985579	-0.859382005
1700093K21Rik	1	1.625140846	0	-1.625140846
1700094D03Rik	1	5.487332041	5.632806876	0.145474835
1700094J05Rik	1	7.497566707	6.94243065	-0.555136057
1700094M24Rik	1	0	0	0
1700095A21Rik	1	0	0	0
1700095B10Rik	1	0.75528821	0.413692533	-0.341595677
1700095B22Rik	1	0.361415423	0.413692533	0.05227711
1700096J18Rik	1	0.437646024	0.734813046	0.297167022
1700096K18Rik	1	4.617237056	5.472597347	0.855360291
1700097N02Rik	1	3.423549569	4.491741582	1.068192013
1700100L14Rik	1	0	0	0
1700101E01Rik	1	1.934169993	1.965548142	0.031378149
1700101I11Rik	1	3.529404896	4.340101723	0.810696826
1700101O22Rik	1	0	0	0
1700102H20Rik	1	2.141357535	2.895813503	0.754455968
1700102P08Rik	1	2.966740869	2.825096022	-0.141644848
1700104A03Rik	1	0	0	0
1700105P06Rik	1	0	0.413692533	0.413692533
1700106J16Rik	1	0	0	0
1700106N22Rik	1	5.581515341	5.815886127	0.234370786
1700108F19Rik	1	0	0	0
1700108J01Rik	1	0.75528821	0.413692533	-0.341595677
1700108M19Rik	1	0	0	0
1700109F18Rik	1	0	0	0
1700109G14Rik	1	0	0	0
1700109G15Rik	1	0	0	0
1700109H08Rik	1	5.17040538	4.886660599	-0.283744781
1700109I08Rik	1	0	0	0
1700110C19Rik	1	0.437646024	0	-0.437646024
1700110I01Rik	1	0	0	0
1700110K17Rik	1	3.028059145	2.26410978	-0.763949365
1700110M21Rik	1	0	0	0
1700111N16Rik	1	0	0	0
1700112E06Rik	1	3.679026031	2.677733196	-1.001292834
1700112H15Rik	1	0	0	0
1700113A16Rik	1	6.693402057	7.147049115	0.453647058
1700113H08Rik	1	0	0	0
1700113I22Rik	1	4.778448313	5.141143103	0.36269479
1700119H24Rik	1	0	0	0
1700120C14Rik	1	3.936537362	4.407626249	0.471088887
1700120E14Rik	1	0	0	0
1700120G07Rik	1	0.437646024	0	-0.437646024
1700120K04Rik	1	3.136879451	3.104055268	-0.032824183
1700121L16Rik	1	0	0	0
1700121N20Rik	1	0	0	0
1700122O11Rik	1	0	0.408899935	0.408899935
1700123I01Rik	1	0	0	0
1700123K08Rik	1	0	0	0
1700123L14Rik	1	0	0	0
1700123M08Rik	1	3.698935894	3.056006205	-0.642929689
1700123O12Rik	1	0	0	0
1700123O20Rik	1	9.287399495	9.345768229	0.058368734
1700123O21Rik	1	0	0	0
1700125D06Rik	1	1.592165582	1.175307209	-0.416858374
1700125G02Rik	1	0	0	0
1700125G22Rik	1	0	0	0
1700125H03Rik	1	0	0	0
1700125H20Rik	1	0.361415423	0.730978093	0.36956267
1700126H18Rik	1	0	0	0
1700128A07Rik	1	0	0	0
1700128F08Rik	1	0	0	0
1700129C05Rik	1	0	0.377759949	0.377759949
1810006J02Rik	1	2.757100468	2.178934098	-0.57816637
1810006K21Rik	1	9.561539446	9.982037252	0.420497805
1810007C17Rik	1	0	0	0
1810007D17Rik	1	0	0	0
1810007I06Rik	1	0	0	0
1810008A18Rik	1	9.521744012	9.685957572	0.16421356
1810008I18Rik	1	1.460033043	0.966924314	-0.493108728
1810009A15Rik	1	9.706033476	10.01207466	0.30604118
1810009J06Rik	1	0	0	0
1810010D01Rik	1	0	0.413692533	0.413692533
1810010H24Rik	1	2.459857051	2.684111315	0.224254263
1810011H11Rik	1	4.634474599	5.883397373	1.248922774
1810011O10Rik	1	4.288223158	4.23274441	-0.055478747
1810012K16Rik	1	0.995282569	0.730978093	-0.264304476
1810012P15Rik	1	7.889086291	8.12772464	0.238638349
1810013A23Rik	1	1.923532595	0.413692533	-1.509840062
1810013D10Rik	1	7.905665347	8.398316959	0.492651611
1810013L24Rik	1	9.884529769	9.514950105	-0.369579664
1810014B01Rik	1	6.857924184	6.994650118	0.136725934
1810014F10Rik	1	4.712091448	5.447146603	0.735055155
1810018F18Rik	1	0	0	0
1810019D21Rik	1	1.143033952	1.512296444	0.369262492
1810019J16Rik	1	2.630170242	1.193304888	-1.436865354
1810020D17Rik	1	6.017738582	6.884947479	0.867208897
1810020O05Rik	1	0.75528821	0.949151357	0.193863147
1810021B22Rik	1	1.90481839	2.706418982	0.801600592
1810022K09Rik	1	6.044368245	6.413811556	0.36944331
1810024B03Rik	1	4.122168524	4.424742875	0.30257435
1810026B05Rik	1	7.925209973	8.181710108	0.256500136
1810026J23Rik	1	10.09058834	9.98071387	-0.109874466
