Gene_id	EKLF+/+ rep1	EKLF+/+ rep2	EKLF+/+ rep3	EKLF-/- rep1	EKLF-/- rep2	EKLF-/- rep3
0610005C13Rik	21	15	21	34	19	15
0610007C21Rik	177	236	234	297	360	270
0610007L01Rik	1504	2035	1576	1651	1592	1608
0610007N19Rik	3	1	2	3	2	3
0610007P08Rik	518	722	578	612	325	515
0610007P14Rik	515	590	572	603	670	569
0610007P22Rik	204	302	285	322	445	351
0610008F07Rik	0	0	0	0	0	0
0610009B14Rik	0	0	0	0	0	0
0610009B22Rik	126	140	151	178	181	179
0610009D07Rik	811	1059	1216	1082	1340	1066
0610009L18Rik	6	10	7	13	19	8
0610009O20Rik	763	1009	673	882	830	914
0610010B08Rik	0	0	0	0	0	0
0610010F05Rik	497	718	643	507	336	396
0610010K14Rik	529	746	594	957	1129	914
0610010O12Rik	4	1	1	5	17	8
0610011F06Rik	188	289	253	337	453	321
0610011L14Rik	383	528	453	589	554	548
0610012G03Rik	404	465	354	500	793	529
0610012H03Rik	0	2	5	1	1	2
0610030E20Rik	593	934	760	1011	684	886
0610031J06Rik	474	699	503	760	977	729
0610031O16Rik	0	1	0	0	0	0
0610037L13Rik	242	354	289	384	447	296
0610037P05Rik	434	633	609	732	881	778
0610038B21Rik	46	51	44	34	19	34
0610038L08Rik	29	49	23	40	24	33
0610039K10Rik	333	493	372	370	153	250
0610040B10Rik	4	8	5	6	11	6
0610040F04Rik	5	8	6	8	11	11
0610040J01Rik	31	60	59	41	64	46
0610043K17Rik	0	1	0	0	1	1
0910001L09Rik	382	518	494	684	1147	635
100043387	45	41	46	35	30	25
1100001G20Rik	67	125	121	151	248	150
1110001A16Rik	285	324	342	421	565	402
1110001J03Rik	232	312	281	384	571	372
1110002B05Rik	388	537	488	570	680	540
1110002L01Rik	181	234	183	300	249	262
1110002N22Rik	105	154	151	153	188	168
1110003E01Rik	190	301	216	262	364	301
1110004E09Rik	407	488	501	497	527	453
1110004F10Rik	1521	1913	1796	1855	1853	1744
1110005A03Rik	186	273	178	318	367	283
1110006O24Rik	30	42	23	17	26	13
1110007C09Rik	59	109	79	118	190	133
1110008F13Rik	1753	2367	2285	2362	3282	2437
1110008J03Rik	79	100	95	92	99	77
1110008L16Rik	260	338	276	319	266	262
1110008P14Rik	154	201	183	217	277	225
1110012J17Rik	1	9	7	11	8	6
1110012L19Rik	65	87	86	83	118	102
1110014N23Rik	471	695	539	816	920	831
1110015O18Rik	0	0	0	0	0	0
1110017D15Rik	0	0	0	0	2	0
1110017F19Rik	9	34	7	9	9	7
1110018G07Rik	1391	1870	1490	1904	960	1513
1110018J18Rik	122	153	167	150	120	158
1110019D14Rik	20	19	24	20	14	17
1110020A21Rik	18	19	19	21	30	19
1110020G09Rik	3114	3831	3659	5092	3555	4643
1110021J02Rik	580	784	709	702	632	670
1110021L09Rik	50	60	60	56	39	40
1110028C15Rik	151	203	169	191	158	187
1110028F11Rik	12	29	20	20	33	30
1110028F18Rik	0	1	0	0	1	0
1110031I02Rik	117	160	119	163	226	167
1110032A03Rik	72	84	92	102	125	85
1110032A04Rik	1	0	3	1	0	0
1110032F04Rik	19	17	25	17	7	19
1110034A24Rik	462	584	499	632	551	542
1110034B05Rik	100	122	123	172	158	151
1110034G24Rik	52	80	99	119	138	89
1110035M17Rik	1	8	2	4	4	7
1110036E04Rik	0	1	1	0	0	0
1110037F02Rik	1443	1989	1556	1796	1185	1407
1110038B12Rik	616	811	609	640	797	678
1110038D17Rik	1543	1777	1783	2073	1526	1728
1110038F14Rik	329	350	303	439	606	437
1110046J04Rik	0	2	3	0	1	0
1110049F12Rik	1012	1215	1047	1575	1709	1476
1110050K14Rik	1	2	3	0	1	1
1110051M20Rik	59	81	69	74	88	55
1110054M08Rik	5	7	7	7	13	8
1110054O05Rik	469	655	509	596	605	538
1110057K04Rik	660	712	680	826	725	673
1110058L19Rik	82	111	105	141	232	156
1110059E24Rik	163	224	261	226	271	230
1110059G10Rik	187	177	196	270	282	267
1110059M19Rik	0	0	0	0	0	0
1110065P20Rik	91	152	142	168	195	142
1110067D22Rik	112	170	149	214	144	215
1190002F15Rik	276	304	350	327	473	383
1190002H23Rik	782	853	1205	493	702	483
1190002N15Rik	341	476	410	422	312	384
1190003J15Rik	0	1	2	3	4	2
1190003K10Rik	0	0	0	0	0	0
1190005F20Rik	393	532	453	809	702	754
1190005I06Rik	2	7	4	5	6	2
1190007F08Rik	2240	2825	2468	2647	2757	2486
1190007I07Rik	131	150	171	197	258	190
1200009I06Rik	32	37	33	95	67	90
1200011I18Rik	843	1175	1017	1219	764	976
1200011M11Rik	397	528	378	579	420	425
1200014J11Rik	970	1289	1094	1361	1044	1143
1200016B10Rik	303	381	354	456	285	414
1300001I01Rik	3574	4910	3640	3376	2444	2551
1300002E11Rik	207	235	231	333	355	344
1300002K09Rik	7	4	7	4	3	4
1300010F03Rik	529	747	460	588	372	470
1300014I06Rik	12	19	19	21	21	16
1300015D01Rik	3	2	5	1	0	0
1300017J02Rik	557	761	688	33	24	20
1300018I17Rik	170	241	148	221	233	211
1300018J18Rik	373	551	386	559	583	609
1500001M20Rik	353	427	397	308	364	316
1500002O10Rik	0	3	1	0	0	0
1500002O20Rik	523	692	473	586	693	626
1500003O03Rik	1091	1617	1335	1563	1059	1225
1500004A13Rik	67	109	77	110	90	98
1500009C09Rik	0	0	0	0	0	0
1500009L16Rik	1	9	6	1	5	3
1500010J02Rik	951	1245	958	1502	1123	1405
1500011B03Rik	145	182	181	117	172	134
1500011H22Rik	233	283	261	333	361	270
1500011K16Rik	127	135	175	193	292	205
1500012F01Rik	729	894	799	696	1130	890
1500012K07Rik	0	0	0	0	0	0
1500015A07Rik	26	40	39	41	49	39
1500015L24Rik	0	0	0	1	0	0
1500015O10Rik	1	1	3	0	1	2
1500016L03Rik	0	0	0	0	0	0
1500017E21Rik	10	12	6	7	8	9
1500031L02Rik	88	103	100	144	194	127
1500032L24Rik	936	1103	1037	1730	2150	1612
1520402A15Rik	4	10	6	9	13	24
1600002D24Rik	0	0	0	0	0	0
1600002H07Rik	406	456	416	625	515	562
1600002K03Rik	68	87	75	103	159	118
1600010M07Rik	7	13	6	3	19	14
1600012F09Rik	92	120	145	131	108	125
1600012H06Rik	409	479	439	483	616	549
1600014C10Rik	279	472	384	509	647	462
1600014C23Rik	1	0	0	0	0	3
1600014K23Rik	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0
1600016N20Rik	22	28	22	18	13	13
1600019K03Rik	0	0	0	0	0	0
1600020E01Rik	30	40	28	36	57	51
1600021P15Rik	10	17	15	11	10	11
1600025M17Rik	0	0	0	0	0	0
1600027N09Rik	155	238	178	201	217	238
1600029D21Rik	5	8	6	13	13	15
1600029I14Rik	0	1	1	0	0	0
1600029O15Rik	0	0	0	0	0	0
1700001C02Rik	0	0	0	0	0	0
1700001C19Rik	3	10	3	5	3	2
1700001D01Rik	1	0	1	0	0	0
1700001F09Rik	0	0	0	0	0	0
1700001G11Rik	5	7	7	12	8	6
1700001G17Rik	8	20	10	18	16	9
1700001J03Rik	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0
1700001K19Rik	8	8	6	2	5	2
1700001K23Rik	5	4	2	3	0	2
1700001L05Rik	143	204	181	35	27	31
1700001L19Rik	0	0	0	0	0	0
1700001O22Rik	1	1	0	1	0	0
1700001P01Rik	8	7	4	2	1	2
1700003C15Rik	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0
1700003E16Rik	2	3	3	4	8	4
1700003F12Rik	4	5	4	2	3	3
1700003F17Rik	0	12	8	6	4	1
1700003G13Rik	0	0	0	0	0	0
1700003G18Rik	0	0	1	0	2	1
1700003H04Rik	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0
1700003M02Rik	0	0	0	0	0	0
1700003M07Rik	0	1	0	0	0	0
1700003P14Rik	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0
1700007F19Rik	0	1	1	0	0	1
1700007G11Rik	0	0	0	0	0	0
1700007I08Rik	9	11	7	2	0	8
1700007J10Rik	16	20	21	13	8	12
1700007K09Rik	3	5	1	0	0	0
1700007K13Rik	1	0	0	1	0	0
1700007L15Rik	33	58	45	47	48	45
1700007P06Rik	0	0	0	0	0	0
1700008A04Rik	0	0	0	0	0	0
1700008F21Rik	0	0	0	0	0	0
1700008I05Rik	0	0	0	0	0	0
1700008J07Rik	80	125	78	90	47	67
1700008K24Rik	0	0	0	0	0	0
1700008O03Rik	4	6	7	2	6	2
1700008P02Rik	0	0	0	0	0	0
1700008P20Rik	0	0	0	0	2	0
1700009C05Rik	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0
1700009P17Rik	12	20	9	23	19	14
1700010B08Rik	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0
1700010I14Rik	20	37	24	20	40	37
1700010J16Rik	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0
1700010M22Rik	0	0	0	0	0	0
1700011A15Rik	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0
1700011E24Rik	0	1	0	0	0	0
1700011F03Rik	0	0	0	0	0	0
1700011F14Rik	0	0	0	0	0	0
1700011H14Rik	1	1	0	0	0	0
1700011I03Rik	0	0	0	0	0	0
1700011J10Rik	71	86	88	82	82	80
1700011L22Rik	0	0	1	0	0	0
1700011M02Rik	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0
1700012A16Rik	16	18	17	7	13	11
1700012B07Rik	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0
1700012B15Rik	194	240	221	252	211	237
1700012D01Rik	1	0	1	2	0	0
1700012D14Rik	10	7	9	5	8	5
1700012I11Rik	0	0	0	0	0	0
1700012L04Rik	2	5	4	2	7	4
1700012P22Rik	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	1	0
1700013G23Rik	2	5	1	3	3	0
1700013G24Rik	0	0	0	0	0	0
1700013H16Rik	0	1	0	0	0	0
1700013N18Rik	11	11	15	2	4	2
1700014N06Rik	0	0	0	0	0	0
1700015E13Rik	0	2	1	2	1	0
1700015F17Rik	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0
1700016C15Rik	1	0	0	0	0	0
1700016D06Rik	0	2	2	1	0	0
1700016G22Rik	0	1	0	1	0	0
1700016H13Rik	0	1	0	1	2	2
1700016K19Rik	1	0	1	2	0	2
1700016L04Rik	0	1	0	1	0	1
1700016L21Rik	0	0	0	0	0	0
1700016M24Rik	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0
1700017B05Rik	841	1407	852	1026	901	938
1700017D01Rik	0	0	0	0	0	0
1700017G19Rik	0	0	0	1	0	1
1700017J07Rik	0	0	0	0	0	0
1700017N19Rik	0	1	0	0	0	0
1700018A04Rik	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0
1700018C11Rik	1	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0
1700018L02Rik	100	138	123	134	43	84
1700018L24Rik	0	0	0	0	0	0
1700019A02Rik	2	0	0	0	0	1
1700019B03Rik	0	0	0	0	1	0
1700019B21Rik	0	0	0	0	0	0
1700019D03Rik	2	10	6	8	6	4
1700019E08Rik	0	0	0	0	0	0
1700019E19Rik	3	11	6	8	12	12
1700019G17Rik	20	37	25	38	26	29
1700019G24Rik	0	0	0	0	0	0
1700019L03Rik	16	16	9	8	18	11
1700019M22Rik	0	0	0	0	0	0
1700019N12Rik	6	8	4	2	5	2
1700019N19Rik	0	0	0	1	0	0
1700019O17Rik	0	0	0	0	0	0
1700020A23Rik	1	0	0	0	0	0
1700020D05Rik	6	5	3	11	5	5
1700020G17Rik	0	0	0	0	0	0
1700020I14Rik	615	886	822	810	321	564
1700020L24Rik	100	128	71	181	356	199
1700020M21Rik	0	0	0	0	0	0
1700020N01Rik	0	1	0	0	0	0
1700020N15Rik	0	0	0	0	0	0
1700020N18Rik	0	1	1	0	0	0
1700020O03Rik	360	531	436	471	315	448
1700021C14Rik	26	27	35	34	50	35
1700021F05Rik	161	209	230	263	310	265
1700021F07Rik	0	0	0	0	0	0
1700021K19Rik	288	393	288	445	276	346
1700021N21Rik	0	0	0	0	1	0
1700022A21Rik	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0
1700022H16Rik	0	1	0	0	0	0
1700022I11Rik	4	2	1	1	0	2
1700022P22Rik	1	1	1	6	2	4
1700023A16Rik	0	0	0	0	0	0
1700023C21Rik	0	0	0	0	0	0
1700023E05Rik	7	9	7	27	47	39
1700023F02Rik	0	0	0	0	0	0
1700023F06Rik	3	1	0	1	0	0
1700023L04Rik	6	9	10	10	20	8
1700024B18Rik	0	0	0	0	0	0
1700024F13Rik	3	2	0	1	0	1
1700024G13Rik	0	0	0	0	0	0
1700024P03Rik	6	4	0	1	0	1
1700024P04Rik	0	0	0	0	0	0
1700024P16Rik	0	1	0	0	0	0
1700025B11Rik	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0
1700025E21Rik	0	3	1	1	2	0
1700025F22Rik	0	0	0	0	0	0
1700025F24Rik	0	1	0	0	0	0
1700025G04Rik	137	237	177	161	188	164
1700025K23Rik	1	3	6	5	2	2
1700025K24Rik	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0
1700025N23Rik	0	0	0	0	0	0
1700026D08Rik	0	0	0	0	0	0
1700026D11Rik	0	1	0	1	0	0
1700026F02Rik	0	0	0	0	0	0
1700026J04Rik	0	4	2	2	0	1
1700026L06Rik	11	18	17	32	39	39
1700027A15Rik	0	0	0	0	0	0
1700027A23Rik	0	0	0	0	0	0
1700027D21Rik	0	0	0	1	2	1
1700027F09Rik	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0
1700027I24Rik	1	0	0	0	0	0
1700027J07Rik	0	2	0	0	0	0
1700028B04Rik	1	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0
1700028E10Rik	15	16	15	32	9	23
1700028I16Rik	0	1	0	0	0	1
1700028J19Rik	11	13	17	12	11	12
1700028K03Rik	35	47	48	41	69	50
1700028M03Rik	0	0	0	1	0	0
1700028P14Rik	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0
1700029F09Rik	394	447	474	493	530	480
1700029F12Rik	0	0	0	0	0	0
1700029G01Rik	7	18	10	9	9	5
1700029H14Rik	1	0	0	0	0	0
1700029I01Rik	26	43	35	32	38	35
1700029I15Rik	4	8	3	2	11	7
1700029J03Rik	0	0	0	0	0	0
1700029J07Rik	8	17	8	13	13	11
1700029J11Rik	1	4	0	0	0	2
1700029M20Rik	0	1	0	0	0	0
1700029N11Rik	0	1	0	0	0	0
1700029P11Rik	0	0	0	0	0	0
1700030A11Rik	0	1	1	2	1	2
1700030C10Rik	0	20	0	34	0	39
1700030F04Rik	0	0	0	0	0	0
1700030F18Rik	0	0	0	0	0	0
1700030J22Rik	13	14	12	21	14	18
1700030K09Rik	128	160	145	171	190	164
1700030L20Rik	0	0	0	0	0	0
1700030M09Rik	1	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0
1700031M16Rik	0	1	0	0	0	1
1700031P21Rik	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0
1700034F02Rik	9	6	3	4	1	2
1700034G24Rik	0	0	0	0	0	0
1700034H14Rik	308	389	351	398	398	356
1700034H15Rik	63	88	66	118	72	137
1700034I23Rik	3	0	1	1	1	3
1700034J05Rik	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0
1700034O15Rik	10	6	5	1	0	2
1700034P13Rik	181	252	185	208	73	155
1700036G14Rik	0	0	0	0	0	0
1700037C18Rik	24	34	34	35	74	45
1700037H04Rik	1045	1686	1373	1845	2111	1746
1700039E15Rik	1	0	0	0	0	1
1700039E22Rik	0	0	0	0	0	0
1700040I03Rik	236	320	273	354	378	306
1700040L02Rik	5	2	2	4	4	4
1700040N02Rik	2	1	3	1	1	0
1700041C23Rik	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0
1700042B14Rik	0	0	0	1	0	0
1700042G07Rik	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0
1700042O10Rik	0	1	0	1	0	0
1700044C05Rik	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	1
1700045I19Rik	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0
1700047G03Rik	0	0	0	0	0	0
1700047I17Rik2	0	0	0	0	0	0
1700047L14Rik	0	0	0	0	0	0
1700047M11Rik	7	9	3	3	5	4
1700048M11Rik	0	2	1	4	1	2
1700048O20Rik	22	23	26	40	33	63
1700049E15Rik	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0
1700049G17Rik	15	22	21	33	17	27
1700049L16Rik	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0
1700052K11Rik	87	131	125	116	125	89
1700052N19Rik	416	556	442	625	533	520
1700054A03Rik	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0
1700054N08Rik	192	217	199	188	163	182
1700054O13Rik	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0
1700055N04Rik	0	7	0	1	3	5
1700056E22Rik	5	18	11	16	17	19
1700057G04Rik	0	0	0	0	1	0
1700057H15Rik	0	0	0	0	0	0
1700057K13Rik	0	1	0	0	0	0
1700058G18Rik	1	5	2	0	0	0
1700060C16Rik	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0
1700061G19Rik	5	5	6	5	1	3
1700061I17Rik	0	0	0	0	0	0
1700061J05Rik	0	1	0	0	0	0
1700063A18Rik	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0
1700064M15Rik	0	0	0	0	0	0
1700065D16Rik	4	13	11	8	10	3
1700065I16Rik	0	0	0	0	0	0
1700065I17Rik	0	0	1	0	0	0
1700065J11Rik	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
1700066B19Rik	2	3	4	4	10	6
1700066J24Rik	9	19	7	26	9	17
1700066M21Rik	186	238	197	251	169	207
1700066N21Rik	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0
1700067K01Rik	9	6	12	6	4	2
1700067P10Rik	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0
1700071M16Rik	11	24	9	17	22	11
1700072B07Rik	0	0	0	0	0	0
1700072O05Rik	0	0	0	0	0	0
1700073E17Rik	1	0	0	0	0	0
1700074H08Rik	0	0	0	0	1	0
1700074P13Rik	0	1	0	0	0	0
1700080E11Rik	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0
1700081H04Rik	0	1	0	0	0	0
1700081H22Rik	0	0	0	0	0	0
1700081L11Rik	914	1351	954	1228	699	1099
1700084C01Rik	0	0	0	0	0	0
1700084E18Rik	3	7	4	3	6	1
1700084F23Rik	0	0	0	0	0	0
1700084J12Rik	0	0	0	0	0	0
1700085B03Rik	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0
1700086L19Rik	0	0	0	0	0	2
1700086O06Rik	133	138	82	84	51	68
1700088E04Rik	51	100	56	70	84	58
1700090G07Rik	0	0	0	0	0	0
1700091E21Rik	0	2	0	0	0	0
1700092C02Rik	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0
1700092K14Rik	0	0	0	0	0	0
1700092M07Rik	7	10	12	8	7	1
1700093K21Rik	2	2	2	0	0	0
1700094D03Rik	39	54	36	50	50	52
1700094J05Rik	135	206	188	170	66	149
1700094M24Rik	0	0	0	0	0	0
1700095A21Rik	0	0	0	0	0	0
1700095B10Rik	1	1	0	0	0	1
1700095B22Rik	0	1	0	0	0	1
1700096J18Rik	0	0	1	0	0	2
1700096K18Rik	20	22	26	47	50	39
1700097N02Rik	9	4	14	32	8	28
1700100L14Rik	0	0	0	0	0	0
1700101E01Rik	4	3	1	2	4	3
1700101I11Rik	8	17	7	17	26	17
1700101O22Rik	0	0	0	0	0	0
1700102H20Rik	3	4	3	5	8	7
1700102P08Rik	6	3	10	6	6	7
1700104A03Rik	0	0	0	0	0	0
1700105P06Rik	0	0	0	0	0	1
1700106J16Rik	0	0	0	0	0	0
1700106N22Rik	46	46	43	57	57	59
1700108F19Rik	0	0	0	0	0	0
1700108J01Rik	1	1	0	0	0	1
1700108M19Rik	0	0	0	0	0	0
1700109F18Rik	0	0	0	0	0	0
1700109G14Rik	0	0	0	0	0	0
1700109G15Rik	0	0	0	0	0	0
1700109H08Rik	25	44	35	25	35	29
1700109I08Rik	0	0	0	0	0	0
1700110C19Rik	0	0	1	0	0	0
1700110I01Rik	0	0	0	0	0	0
1700110K17Rik	7	9	5	5	4	3
1700110M21Rik	0	0	0	0	0	0
1700111N16Rik	0	0	0	0	0	0
1700112E06Rik	6	28	4	7	4	6
1700112H15Rik	0	0	0	0	0	0
1700113A16Rik	93	115	91	129	187	123
1700113H08Rik	0	0	0	0	0	0
1700113I22Rik	21	37	21	43	38	27
1700119H24Rik	0	0	0	0	0	0
1700120C14Rik	8	24	12	29	18	17
1700120E14Rik	0	0	0	0	0	0
1700120G07Rik	0	0	1	0	0	0
1700120K04Rik	7	10	6	10	10	4
1700121L16Rik	0	0	0	0	0	0
1700121N20Rik	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	1	0
1700123I01Rik	0	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	0
1700123L14Rik	0	0	0	0	0	0
1700123M08Rik	10	13	12	9	6	8
1700123O12Rik	0	0	0	0	0	0
1700123O20Rik	522	715	592	698	740	597
1700123O21Rik	0	0	0	0	0	0
1700125D06Rik	2	3	1	2	1	1
1700125G02Rik	0	0	0	0	0	0
1700125G22Rik	0	0	0	0	0	0
1700125H03Rik	0	0	0	0	0	0
1700125H20Rik	0	1	0	0	1	1
1700126H18Rik	0	0	0	0	0	0
1700128A07Rik	0	0	0	0	0	0
1700128F08Rik	0	0	0	0	0	0
1700129C05Rik	0	0	0	1	0	0
1810006J02Rik	6	8	3	3	6	2
1810006K21Rik	636	734	816	977	1223	955
1810007C17Rik	0	0	0	0	0	0
1810007D17Rik	0	0	0	0	0	0
1810007I06Rik	0	0	0	0	0	0
1810008A18Rik	622	831	696	875	929	772
1810008I18Rik	1	1	3	1	2	0
1810009A15Rik	728	770	907	1064	1249	915
1810009J06Rik	0	0	0	0	0	0
1810010D01Rik	0	0	0	0	0	1
1810010H24Rik	2	8	4	6	5	6
1810011H11Rik	17	36	19	31	90	58
1810011O10Rik	31	10	9	22	17	17
1810012K16Rik	0	1	2	0	1	1
1810012P15Rik	185	292	221	312	225	336
1810013A23Rik	2	2	4	0	0	1
1810013D10Rik	201	269	229	339	419	294
1810013L24Rik	783	1076	909	879	617	799
1810014B01Rik	95	115	124	101	153	139
1810014F10Rik	25	27	21	28	66	38
1810018F18Rik	0	0	0	0	0	0
1810019D21Rik	0	3	1	4	2	0
1810019J16Rik	6	6	3	1	2	1
1810020D17Rik	58	61	65	123	149	95
1810020O05Rik	1	1	0	2	0	1
1810021B22Rik	1	2	5	2	12	3
1810022K09Rik	55	67	67	79	111	73
1810024B03Rik	15	14	18	21	20	23
1810026B05Rik	213	261	231	244	345	311
1810026J23Rik	950	1216	1016	1179	987	1003
1810027O10Rik	546	653	710	986	1671	1115
1810029B16Rik	212	303	318	288	329	276
1810030J14Rik	0	0	0	0	0	0
1810030N24Rik	110	121	162	197	173	181
1810030O07Rik	431	538	422	595	595	529
1810031K17Rik	1080	1455	1159	1748	1694	1577
1810032O08Rik	270	297	237	168	226	222
1810033B17Rik	119	273	163	295	456	289
1810034E14Rik	21	21	17	26	24	20
1810035I16Rik	0	0	0	0	0	0
1810035L17Rik	293	349	475	412	597	408
1810037I17Rik	820	920	1061	1034	1773	1190
1810041L15Rik	1	7	1	0	0	0
1810043G02Rik	63	71	61	96	141	101
1810043H04Rik	126	179	164	253	358	253
1810044D09Rik	29	34	32	29	55	42
1810046J19Rik	222	281	269	479	574	424
1810046K07Rik	0	0	0	0	0	0
1810048J11Rik	114	147	134	152	117	163
1810049H13Rik	39	53	31	70	91	76
1810053B23Rik	31	55	62	19	19	39
1810055G02Rik	200	270	178	263	244	251
1810058I24Rik	642	965	818	1048	1299	1100
1810062G17Rik	3	1	3	5	7	5
1810062O18Rik	12	24	16	22	8	18
1810063B05Rik	188	210	226	261	333	272
1810063B07Rik	34	67	56	81	112	80
1810064F22Rik	0	0	0	0	0	0
1810065E05Rik	0	0	0	0	0	0
1810074P20Rik	380	490	442	465	343	358
2010001E11Rik	0	0	0	0	0	1
2010001M06Rik	27	38	33	33	58	37
2010001M09Rik	26	11	13	12	16	12
2010002M12Rik	1	4	4	1	4	1
2010002N04Rik	345	530	365	448	517	441
2010003K11Rik	0	0	0	0	0	0
2010003K15Rik	4	3	3	1	6	2
2010003O02Rik	44	65	57	72	72	73
2010005H15Rik	87	241	181	140	236	158
2010009K17Rik	9	8	14	3	2	8
2010010A06Rik	0	0	0	0	0	1
2010011I20Rik	2920	4030	3734	2562	2123	2091
2010012O05Rik	146	153	158	161	224	175
2010015L04Rik	3	7	5	1	6	3
2010016I18Rik	9	20	10	9	13	15
2010106C02Rik	1	1	0	0	0	0
2010106E10Rik	0	0	0	0	0	0
2010106G01Rik	1077	1382	1324	1372	1006	1135
2010107E04Rik	895	932	1166	1261	1961	1341
2010107G12Rik	7	23	9	7	5	5
2010107G23Rik	1	5	3	6	10	11
2010107H07Rik	236	288	306	328	528	368
2010109A12Rik	1	0	0	6	5	0
2010109I03Rik	2	2	1	2	1	2
2010109K11Rik	949	1340	1036	664	601	634
2010110P09Rik	4	6	3	2	1	0
2010111I01Rik	134	178	166	130	122	108
2010204K13Rik	52	41	50	44	63	34
2010300C02Rik	1	15	4	3	3	1
2010305A19Rik	210	231	230	265	248	191
2010308F09Rik	2	0	0	0	1	0
2010310C07Rik	1	0	0	0	0	0
2010315B03Rik	50	61	69	94	67	75
2010317E24Rik	565	706	567	1057	915	891
2010320M18Rik	50	76	74	96	119	66
2010321M09Rik	864	1154	1033	1390	1098	1157
2200002D01Rik	25	22	24	26	42	31
2200002J24Rik	0	0	0	1	0	0
2200002K05Rik	3	4	4	2	2	0
2210009G21Rik	105	136	130	131	57	106
2210010C04Rik	1	1	0	0	0	0
2210010C17Rik	4	10	6	6	11	9
2210012G02Rik	366	435	404	524	540	463
2210013O21Rik	114	140	124	192	239	190
2210015D19Rik	74	106	94	92	172	132
2210016F16Rik	556	604	554	850	942	797
2210016L21Rik	276	330	256	451	488	451
2210018M11Rik	309	466	363	427	234	314
2210019I11Rik	0	0	0	0	0	0
2210020M01Rik	156	205	79	61	93	65
2210021J22Rik	150	170	167	162	264	187
2210039B01Rik	0	0	0	0	0	0
